T0.0199999995529652,0.9777895,-0.002922283,0.003601564,0.003972949,-0.06176758,1.013672,0.001220703,0.001231943,-0.3174692,0.2789493,1.0,-2.297448e-06,3.770411e-05,4.755879e-08,1.0,rec181GMV0.txt,0,T0.0199999995529652,1.955579,-0.002922283,0.003601564,0.003972949,-0.06176758,1.013672,0.001220703,0.001231943,-0.3174692,0.2789493,0.9890181,-2.885585e-06,3.766723e-05,9.143405e-07,1.0,33,39,83,0.0,rec181GMV1.txt,0
T0.0399999991059303,2.944619,-0.004143978,-0.003728604,-0.007022301,-0.05957031,1.010986,0.0007324219,0.001148708,-0.3175538,0.2789782,0.9807816,7.704456e-05,9.206451e-06,0.0003278686,0.9999999,rec181GMV0.txt,1,T0.0399999991059303,2.955869,-0.004143978,-0.003728604,-0.007022301,-0.05957031,1.010986,0.0007324219,0.001148708,-0.3175538,0.2789782,0.9764413,0.00014958,1.191659e-05,0.0006338478,0.9999998,33,39,83,0.2498274,rec181GMV1.txt,1
T0.373333342373371,2.963105,-0.01025245,0.00237987,-0.003357218,-0.06005859,1.011963,0.0004882813,0.001075111,-0.317484,0.2789456,0.9750299,0.0002494985,0.0003952808,0.0009087187,0.9999995,rec181GMV0.txt,2,T0.373333342373371,2.959091,-0.01025245,0.00237987,-0.003357218,-0.06005859,1.011963,0.0004882813,0.001075111,-0.317484,0.2789456,0.9751612,0.0002531994,0.0003940413,0.0008352638,0.9999996,33,39,83,0.4316803,rec181GMV1.txt,2
T0.463533245027065,2.949034,-0.006587366,-0.003728604,-0.008243995,-0.06079102,1.013428,0.003173828,0.00106071,-0.3174217,0.2789328,0.9745992,-8.977627e-05,0.0001855505,0.0006752008,0.9999998,rec181GMV0.txt,3,T0.463533245027065,2.942991,-0.006587366,-0.003728604,-0.008243995,-0.06079102,1.013428,0.003173828,0.00106071,-0.3174217,0.2789328,0.9725273,-0.0004966071,0.0001626037,0.000573033,0.9999998,33,39,83,0.5737602,rec181GMV1.txt,3
T0.514616545289755,2.92345,-0.01025245,0.01215342,0.008859727,-0.06420898,1.016602,-0.001953125,0.001056702,-0.3173396,0.2787989,0.9699843,-0.00014625,0.0004745428,-4.341098e-05,0.9999999,rec181GMV0.txt,4,T0.514616545289755,2.90995,-0.01025245,0.01215342,0.008859727,-0.06420898,1.016602,-0.001953125,0.001056702,-0.3173396,0.2787989,0.9648926,0.0006218216,0.0004356783,-0.0004981311,0.9999996,33,39,83,0.6803201,rec181GMV1.txt,4
T0.527096144855022,2.906451,0.001964495,0.001158174,-0.003357218,-0.05908203,1.014404,0.003417969,0.0009768761,-0.3173213,0.2787227,0.9588865,0.0006211046,0.0005020084,-0.0002823308,0.9999996,rec181GMV0.txt,5,T0.527096144855022,2.916451,0.001964495,0.001158174,-0.003357218,-0.05908203,1.014404,0.003417969,0.0009768761,-0.3173213,0.2787227,0.9538165,-0.0001666041,0.0003770322,0.0004406649,0.9999998,33,39,83,0.7602401,rec181GMV1.txt,5
T0.539939344860613,2.944528,-0.002922283,0.003601564,0.002751254,-0.06103516,1.009766,0.001464844,0.0009141285,-0.317302,0.2786483,0.9516314,-0.0007571002,0.0004231626,0.0009261579,0.9999992,rec181GMV0.txt,6,T0.539939344860613,2.962606,-0.002922283,0.003601564,0.002751254,-0.06103516,1.009766,0.001464844,0.0009141285,-0.317302,0.2786483,0.9545637,-0.0004358717,0.000351374,0.0005918295,0.9999997,33,39,83,0.8201801,rec181GMV1.txt,6
T0.549257344566286,2.968752,-0.001700589,0.00237987,0.00152956,-0.06201172,1.012695,-0.0009765625,0.0008321399,-0.3172043,0.2786376,0.9597294,0.0002376369,0.0004695194,0.0001305976,0.9999999,rec181GMV0.txt,7,T0.549257344566286,2.95682,-0.001700589,0.00237987,0.00152956,-0.06201172,1.012695,-0.0009765625,0.0008321399,-0.3172043,0.2786376,0.9646162,0.0005915054,0.0004099231,1.996983e-05,0.9999998,33,39,83,0.8201801,rec181GMV1.txt,7
T0.562144944444299,2.935408,-0.002922283,0.01093173,0.007638033,-0.06079102,1.015137,0.00390625,0.0009703836,-0.3171866,0.278604,0.9663173,0.0002375933,0.0005223387,7.473912e-05,0.9999999,rec181GMV0.txt,8,T0.562144944444299,2.925927,-0.002922283,0.01093173,0.007638033,-0.06079102,1.015137,0.00390625,0.0009703836,-0.3171866,0.278604,0.9640885,-0.0004855808,0.0004003494,0.0002826138,0.9999998,33,39,83,0.8201801,rec181GMV1.txt,8
T0.580218244343996,2.917069,-0.01025245,0.01215342,0.00152956,-0.05786133,1.015137,0.006835938,0.000867676,-0.3172102,0.2786895,0.9608734,-0.001761815,0.0004927438,0.0009671747,0.9999979,rec181GMV0.txt,9,T0.580218244343996,2.917691,-0.01025245,0.01215342,0.00152956,-0.05786133,1.015137,0.006835938,0.000867676,-0.3172102,0.2786895,0.9570242,-0.002135866,0.0003208451,0.001379241,0.9999967,33,39,83,0.8201801,rec181GMV1.txt,9
